,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
40031,2.0,01/01/2020 01:42:20 AM,01/01/2020 01:49:56 AM,2.0,1.58,1.0,N,141.0,262.0,1.0,8.0,0.5,0.5,2.0,0.0,0.3,13.8,2.5
40032,2.0,01/01/2020 01:52:06 AM,01/01/2020 02:07:19 AM,2.0,2.41,1.0,N,262.0,239.0,1.0,12.0,0.5,0.5,2.0,0.0,0.3,17.8,2.5
40033,2.0,01/01/2020 02:10:27 AM,01/01/2020 02:35:45 AM,2.0,5.79,1.0,N,143.0,79.0,2.0,21.5,0.5,0.5,0.0,0.0,0.3,25.3,2.5
40034,1.0,01/01/2020 02:47:33 AM,01/01/2020 02:54:27 AM,1.0,1.4,1.0,N,50.0,246.0,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
40035,2.0,01/01/2020 02:10:51 AM,01/01/2020 02:20:57 AM,1.0,1.49,1.0,N,162.0,186.0,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
40036,2.0,01/01/2020 02:21:42 AM,01/01/2020 02:31:50 AM,1.0,2.04,1.0,N,186.0,162.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
40037,2.0,01/01/2020 02:51:05 AM,01/01/2020 02:57:26 AM,2.0,0.16,1.0,N,161.0,162.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
40038,2.0,01/01/2020 02:25:35 AM,01/01/2020 02:26:21 AM,1.0,0.08,2.0,N,170.0,170.0,1.0,52.0,0.0,0.5,15.36,6.12,0.3,76.78,2.5
40039,2.0,01/01/2020 02:28:56 AM,01/01/2020 02:37:37 AM,1.0,1.32,1.0,N,170.0,229.0,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
40040,2.0,01/01/2020 02:52:01 AM,01/01/2020 03:05:11 AM,1.0,1.82,1.0,N,79.0,158.0,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
40041,1.0,01/01/2020 02:50:48 AM,01/01/2020 02:55:21 AM,2.0,0.6,1.0,N,42.0,152.0,1.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0
40042,1.0,01/01/2020 02:25:49 AM,01/01/2020 02:37:29 AM,1.0,1.8,1.0,N,107.0,224.0,1.0,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
40043,1.0,01/01/2020 02:42:36 AM,01/01/2020 02:46:35 AM,3.0,0.6,1.0,N,4.0,4.0,2.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
40044,1.0,01/01/2020 02:48:20 AM,01/01/2020 02:55:41 AM,1.0,0.8,1.0,N,4.0,79.0,2.0,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
40045,1.0,01/01/2020 02:58:45 AM,01/01/2020 03:08:31 AM,0.0,1.4,1.0,N,79.0,211.0,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
40046,2.0,01/01/2020 02:12:02 AM,01/01/2020 02:25:04 AM,2.0,2.4,1.0,N,249.0,48.0,1.0,11.0,0.5,0.5,3.7,0.0,0.3,18.5,2.5
40047,2.0,01/01/2020 02:26:06 AM,01/01/2020 02:55:16 AM,2.0,8.18,1.0,N,48.0,82.0,1.0,27.5,0.5,0.5,0.0,0.0,0.3,31.3,2.5
40048,2.0,01/01/2020 02:04:39 AM,01/01/2020 02:22:02 AM,1.0,2.5,1.0,N,164.0,246.0,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
40049,2.0,01/01/2020 02:34:23 AM,01/01/2020 02:48:53 AM,1.0,2.62,1.0,N,246.0,141.0,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
40050,2.0,01/01/2020 02:03:48 AM,01/01/2020 02:20:14 AM,1.0,2.2,1.0,N,107.0,48.0,1.0,12.0,0.5,0.5,4.74,0.0,0.3,20.54,2.5
40051,2.0,01/01/2020 02:21:47 AM,01/01/2020 02:34:20 AM,1.0,0.69,1.0,N,48.0,230.0,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
40052,2.0,01/01/2020 02:35:15 AM,01/01/2020 02:43:08 AM,1.0,1.87,1.0,N,230.0,239.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
40053,2.0,01/01/2020 02:58:06 AM,01/01/2020 03:13:02 AM,1.0,2.43,1.0,N,100.0,79.0,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
40054,2.0,01/01/2020 02:25:16 AM,01/01/2020 02:27:08 AM,1.0,0.37,1.0,N,74.0,74.0,1.0,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0
40055,2.0,01/01/2020 02:30:25 AM,01/01/2020 02:44:43 AM,1.0,4.18,1.0,N,74.0,119.0,2.0,15.0,0.5,0.5,0.0,0.0,0.3,16.3,0.0
40056,2.0,01/01/2020 02:21:53 AM,01/01/2020 02:48:19 AM,1.0,6.01,1.0,N,234.0,61.0,1.0,23.0,0.5,0.5,5.36,0.0,0.3,32.16,2.5
40057,2.0,01/01/2020 02:58:24 AM,01/01/2020 03:00:55 AM,1.0,0.38,1.0,N,49.0,97.0,2.0,4.0,0.5,0.5,0.0,0.0,0.3,5.3,0.0
40058,2.0,01/01/2020 02:51:49 AM,01/01/2020 02:51:51 AM,1.0,0.0,5.0,N,264.0,264.0,1.0,20.0,0.0,0.0,0.8,0.0,0.3,21.1,0.0
40059,2.0,01/01/2020 02:53:15 AM,01/01/2020 02:58:35 AM,1.0,0.85,1.0,N,246.0,90.0,1.0,5.5,0.5,0.5,10.0,0.0,0.3,19.3,2.5
40060,2.0,01/01/2020 01:31:45 AM,01/01/2020 01:55:47 AM,1.0,4.38,1.0,N,50.0,261.0,1.0,18.5,0.5,0.5,4.46,0.0,0.3,26.76,2.5
40061,2.0,01/01/2020 01:59:38 AM,01/01/2020 02:18:50 AM,1.0,3.92,1.0,N,12.0,164.0,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
40062,2.0,01/01/2020 02:20:16 AM,01/01/2020 02:34:47 AM,1.0,1.92,1.0,N,164.0,246.0,2.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
40063,2.0,01/01/2020 01:59:58 AM,01/01/2020 02:23:42 AM,1.0,8.56,1.0,N,181.0,141.0,1.0,26.5,0.5,0.5,4.0,0.0,0.3,34.3,2.5
40064,2.0,01/01/2020 02:36:58 AM,01/01/2020 03:00:25 AM,1.0,5.28,1.0,N,230.0,179.0,1.0,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5
40065,1.0,01/01/2020 02:37:18 AM,01/01/2020 02:54:38 AM,3.0,2.8,1.0,N,107.0,232.0,2.0,13.5,3.0,0.5,0.0,0.0,0.3,17.3,2.5
40066,1.0,01/01/2020 02:59:45 AM,01/01/2020 03:09:20 AM,3.0,2.1,1.0,N,148.0,107.0,1.0,9.5,3.0,0.5,2.0,0.0,0.3,15.3,2.5
40067,2.0,01/01/2020 02:06:36 AM,01/01/2020 02:24:25 AM,1.0,6.5,1.0,N,255.0,13.0,1.0,20.5,0.5,0.5,3.64,0.0,0.3,29.89,2.5
40068,2.0,01/01/2020 02:17:53 AM,01/01/2020 02:18:32 AM,1.0,0.0,3.0,N,265.0,265.0,1.0,20.0,0.5,0.0,80.0,0.0,0.3,100.8,0.0
40069,2.0,01/01/2020 02:41:22 AM,01/01/2020 03:04:51 AM,1.0,1.45,1.0,N,48.0,161.0,1.0,15.0,0.5,0.5,3.76,0.0,0.3,22.56,2.5
40070,2.0,01/01/2020 02:08:42 AM,01/01/2020 02:28:26 AM,1.0,7.05,1.0,N,231.0,140.0,1.0,22.0,0.5,0.5,3.5,0.0,0.3,29.3,2.5
40071,2.0,01/01/2020 02:39:19 AM,01/01/2020 02:56:51 AM,1.0,3.25,1.0,N,170.0,148.0,1.0,13.5,0.5,0.5,3.46,0.0,0.3,20.76,2.5
40072,1.0,01/01/2020 02:01:53 AM,01/01/2020 02:06:34 AM,1.0,0.6,1.0,N,238.0,238.0,2.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
40073,1.0,01/01/2020 02:20:03 AM,01/01/2020 02:34:18 AM,3.0,2.0,1.0,N,50.0,141.0,3.0,11.0,3.0,0.5,0.0,0.0,0.3,14.8,2.5
40074,1.0,01/01/2020 02:46:07 AM,01/01/2020 02:56:46 AM,2.0,3.1,1.0,N,170.0,263.0,1.0,11.5,3.0,0.5,2.0,0.0,0.3,17.3,2.5
40075,1.0,01/01/2020 02:13:56 AM,01/01/2020 02:26:03 AM,1.0,2.4,1.0,N,162.0,249.0,1.0,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5
40076,1.0,01/01/2020 02:27:17 AM,01/01/2020 02:47:39 AM,1.0,3.6,1.0,N,249.0,142.0,1.0,16.0,3.0,0.5,3.95,0.0,0.3,23.75,2.5
40077,2.0,01/01/2020 02:16:03 AM,01/01/2020 02:28:12 AM,1.0,1.47,1.0,N,230.0,68.0,2.0,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
40078,2.0,01/01/2020 02:34:39 AM,01/01/2020 03:05:09 AM,1.0,3.24,5.0,N,100.0,265.0,2.0,60.0,0.0,0.5,0.0,10.5,0.3,73.8,2.5
40079,2.0,01/01/2020 02:04:32 AM,01/01/2020 02:11:28 AM,2.0,1.1,1.0,N,97.0,49.0,2.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0
