,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
400000,2.0,01/03/2020 01:12:45 PM,01/03/2020 01:17:04 PM,1.0,0.9,1.0,N,140.0,141.0,1.0,5.5,0.0,0.5,2.64,0.0,0.3,11.44,2.5
400001,2.0,01/03/2020 01:22:19 PM,01/03/2020 01:29:18 PM,1.0,0.92,1.0,N,141.0,237.0,1.0,6.5,0.0,0.5,2.94,0.0,0.3,12.74,2.5
400002,2.0,01/03/2020 01:46:58 PM,01/03/2020 01:56:07 PM,1.0,1.57,1.0,N,141.0,236.0,1.0,8.5,0.0,0.5,2.0,0.0,0.3,13.8,2.5
400003,2.0,01/03/2020 01:08:48 PM,01/03/2020 01:29:43 PM,1.0,4.74,1.0,N,48.0,112.0,1.0,18.0,0.0,0.5,3.2,0.0,0.3,24.5,2.5
400004,2.0,01/03/2020 01:10:14 PM,01/03/2020 01:19:30 PM,1.0,1.07,1.0,N,230.0,100.0,2.0,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
400005,2.0,01/03/2020 01:25:39 PM,01/03/2020 01:38:41 PM,1.0,2.16,1.0,N,48.0,237.0,2.0,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
400006,2.0,01/03/2020 01:53:31 PM,01/03/2020 01:57:45 PM,1.0,0.72,1.0,N,263.0,236.0,1.0,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
400007,2.0,01/03/2020 01:29:02 PM,01/03/2020 01:47:11 PM,3.0,3.35,1.0,N,142.0,170.0,2.0,14.0,0.0,0.5,0.0,0.0,0.3,17.3,2.5
400008,2.0,01/03/2020 01:54:53 PM,01/03/2020 02:17:28 PM,3.0,2.12,1.0,N,100.0,162.0,2.0,14.5,0.0,0.5,0.0,0.0,0.3,17.8,2.5
400009,2.0,01/03/2020 01:23:23 PM,01/03/2020 01:39:17 PM,2.0,3.07,1.0,N,230.0,236.0,1.0,13.5,0.0,0.5,2.52,0.0,0.3,19.32,2.5
400010,2.0,01/03/2020 01:39:39 PM,01/03/2020 01:49:40 PM,2.0,1.8,1.0,N,236.0,237.0,1.0,9.5,0.0,0.5,1.92,0.0,0.3,14.72,2.5
400011,1.0,01/03/2020 01:30:43 PM,01/03/2020 01:41:07 PM,1.0,1.7,1.0,Y,100.0,113.0,1.0,8.5,2.5,0.5,1.0,0.0,0.3,12.8,2.5
400012,1.0,01/03/2020 01:42:28 PM,01/03/2020 01:51:01 PM,3.0,1.5,1.0,Y,113.0,137.0,1.0,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5
400013,2.0,01/03/2020 01:28:48 PM,01/03/2020 01:38:53 PM,5.0,1.54,1.0,N,43.0,161.0,2.0,8.5,0.0,0.5,0.0,0.0,0.3,11.8,2.5
400014,2.0,01/03/2020 01:46:30 PM,01/03/2020 01:55:41 PM,5.0,1.26,1.0,N,163.0,100.0,2.0,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
400015,1.0,01/03/2020 01:07:28 PM,01/03/2020 01:19:20 PM,4.0,1.1,1.0,N,48.0,164.0,2.0,8.5,2.5,0.5,0.0,0.0,0.3,11.8,2.5
400016,1.0,01/03/2020 01:29:37 PM,01/03/2020 01:42:14 PM,1.0,1.2,1.0,N,186.0,230.0,2.0,9.0,2.5,0.5,0.0,0.0,0.3,12.3,2.5
400017,1.0,01/03/2020 01:02:21 PM,01/03/2020 01:10:17 PM,1.0,1.2,1.0,N,151.0,239.0,2.0,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5
400018,1.0,01/03/2020 01:51:04 PM,01/03/2020 02:07:12 PM,2.0,2.1,1.0,N,143.0,100.0,1.0,12.0,2.5,0.5,3.05,0.0,0.3,18.35,2.5
400019,2.0,01/03/2020 01:06:03 PM,01/03/2020 01:13:37 PM,1.0,1.79,1.0,N,142.0,141.0,1.0,8.0,0.0,0.5,1.59,0.0,0.3,12.89,2.5
400020,2.0,01/03/2020 01:19:41 PM,01/03/2020 01:24:26 PM,1.0,1.49,1.0,N,229.0,137.0,1.0,6.5,0.0,0.5,1.2,0.0,0.3,11.0,2.5
400021,2.0,01/03/2020 01:39:44 PM,01/03/2020 01:50:59 PM,1.0,2.61,1.0,N,170.0,237.0,1.0,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0.0
400022,2.0,01/03/2020 01:55:35 PM,01/03/2020 02:03:34 PM,1.0,1.02,1.0,N,236.0,262.0,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
400023,2.0,01/03/2020 01:03:22 PM,01/03/2020 01:08:53 PM,6.0,0.97,1.0,N,142.0,237.0,2.0,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5
