VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/06/2021 05:49:24 PM,01/06/2021 06:09:03 PM,1.0,3.48,1.0,N,79.0,50.0,1.0,15.0,1.0,0.5,3.86,0.0,0.3,23.16,2.5
1,01/06/2021 05:04:18 PM,01/06/2021 05:16:18 PM,1.0,1.5,1.0,N,263.0,229.0,2.0,9.5,3.5,0.5,0.0,0.0,0.3,13.8,2.5
1,01/06/2021 05:19:46 PM,01/06/2021 05:24:41 PM,1.0,1.1,1.0,N,140.0,141.0,1.0,5.5,3.5,0.5,1.0,0.0,0.3,10.8,2.5
1,01/06/2021 05:31:01 PM,01/06/2021 05:35:59 PM,1.0,0.8,1.0,N,141.0,162.0,1.0,5.5,3.5,0.5,1.96,0.0,0.3,11.76,2.5
2,01/06/2021 05:18:27 PM,01/06/2021 06:06:05 PM,1.0,18.88,2.0,N,132.0,239.0,1.0,52.0,4.5,0.5,11.96,0.0,0.3,71.76,2.5
2,01/06/2021 05:26:33 PM,01/06/2021 06:05:55 PM,2.0,18.81,2.0,N,132.0,163.0,1.0,52.0,4.5,0.5,16.48,6.12,0.3,82.4,2.5
2,01/06/2021 04:58:56 PM,01/06/2021 05:01:39 PM,1.0,0.77,1.0,N,100.0,163.0,2.0,4.5,1.0,0.5,0.0,0.0,0.3,8.8,2.5
1,01/06/2021 05:23:29 PM,01/06/2021 05:33:18 PM,0.0,1.6,1.0,N,162.0,186.0,1.0,8.5,3.5,0.5,2.55,0.0,0.3,15.35,2.5
1,01/06/2021 05:37:02 PM,01/06/2021 05:41:34 PM,0.0,0.9,1.0,N,186.0,68.0,1.0,5.5,3.5,0.5,1.95,0.0,0.3,11.75,2.5
1,01/06/2021 05:44:26 PM,01/06/2021 06:01:52 PM,0.0,4.2,1.0,N,68.0,238.0,1.0,16.5,3.5,0.5,3.0,0.0,0.3,23.8,2.5
2,01/06/2021 05:03:36 PM,01/06/2021 05:12:57 PM,2.0,1.69,1.0,N,237.0,43.0,2.0,8.5,1.0,0.5,0.0,0.0,0.3,12.8,2.5
1,01/06/2021 05:22:23 PM,01/06/2021 05:48:01 PM,1.0,9.7,1.0,N,138.0,79.0,2.0,30.5,1.0,0.5,0.0,0.0,0.3,32.3,0.0
1,01/06/2021 05:38:27 PM,01/06/2021 05:43:29 PM,1.0,0.9,1.0,N,170.0,234.0,1.0,6.0,3.5,0.5,2.05,0.0,0.3,12.35,2.5
1,01/06/2021 05:55:30 PM,01/06/2021 06:00:11 PM,1.0,0.9,1.0,N,48.0,230.0,1.0,5.5,3.5,0.5,1.47,0.0,0.3,11.27,2.5
2,01/06/2021 05:31:39 PM,01/06/2021 05:38:59 PM,1.0,1.38,1.0,N,107.0,162.0,1.0,7.5,1.0,0.5,2.36,0.0,0.3,14.16,2.5
2,01/06/2021 05:49:47 PM,01/06/2021 06:19:42 PM,1.0,7.46,1.0,N,170.0,40.0,1.0,26.0,1.0,0.5,7.58,0.0,0.3,37.88,2.5
2,01/06/2021 05:13:57 PM,01/06/2021 05:22:56 PM,1.0,2.47,1.0,N,48.0,249.0,1.0,9.5,1.0,0.5,2.76,0.0,0.3,16.56,2.5
2,01/06/2021 05:24:07 PM,01/06/2021 05:36:56 PM,1.0,3.61,1.0,N,114.0,43.0,1.0,13.0,1.0,0.5,3.46,0.0,0.3,20.76,2.5
2,01/06/2021 05:07:54 PM,01/06/2021 05:29:21 PM,1.0,3.8,1.0,N,141.0,7.0,1.0,16.5,1.0,0.5,4.16,0.0,0.3,24.96,2.5
2,01/06/2021 05:23:16 PM,01/06/2021 05:34:24 PM,1.0,1.97,1.0,N,236.0,239.0,1.0,10.0,1.0,0.5,0.8,0.0,0.3,15.1,2.5
2,01/06/2021 05:37:50 PM,01/06/2021 05:46:20 PM,1.0,1.96,1.0,N,142.0,151.0,1.0,9.0,1.0,0.5,3.33,0.0,0.3,16.63,2.5
2,01/06/2021 05:52:56 PM,01/06/2021 06:00:09 PM,1.0,2.06,1.0,N,43.0,42.0,2.0,8.0,1.0,0.5,0.0,0.0,0.3,9.8,0.0
1,01/06/2021 05:17:43 PM,01/06/2021 05:27:27 PM,1.0,1.7,1.0,N,161.0,236.0,1.0,8.5,3.5,0.5,2.55,0.0,0.3,15.35,2.5
1,01/06/2021 05:31:08 PM,01/06/2021 05:41:06 PM,1.0,1.6,1.0,N,75.0,140.0,1.0,8.5,3.5,0.5,2.55,0.0,0.3,15.35,2.5
2,01/06/2021 05:17:24 PM,01/06/2021 05:42:29 PM,1.0,5.0,1.0,N,143.0,231.0,2.0,21.0,1.0,0.5,0.0,0.0,0.3,25.3,2.5
