VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,01/01/2020 12:22:33 AM,01/01/2020 12:28:01 AM,2.0,0.81,1.0,N,239.0,142.0,2.0,0.5,0.5,0.0,0.0,0.3,9.3,2.5
2.0,01/01/2020 12:30:11 AM,01/01/2020 01:31:29 AM,1.0,0.8,1.0,N,48.0,68.0,2.0,1.3,0.5,0.0,0.0,0.0,22.8,2.5
1.0,01/01/2020 12:54:57 AM,01/01/2020 12:58:50 AM,6.0,0.9,1.0,N,95.0,95.0,2.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0
1.0,01/01/2020 12:23:37 AM,01/01/2020 12:26:18 AM,1.0,0.9,1.0,N,229.0,140.0,1.0,3.0,0.5,1.65,0.0,0.3,9.95,2.5
1.0,01/01/2020 12:33:33 AM,01/01/2020 12:36:20 AM,2.0,0.6,1.0,N,141.0,140.0,1.0,3.0,0.5,1.65,0.0,0.3,9.95,2.5
1.0,01/01/2020 12:43:56 AM,01/01/2020 12:46:24 AM,1.0,0.7,1.0,N,141.0,141.0,1.0,3.0,0.5,1.0,0.0,0.3,9.3,2.5
1.0,01/01/2020 12:58:34 AM,01/01/2020 01:07:17 AM,1.0,1.1,1.0,N,233.0,229.0,1.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2.0,01/01/2020 12:31:20 AM,01/01/2020 12:47:31 AM,2.0,2.77,1.0,N,144.0,68.0,1.0,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,01/01/2020 12:50:58 AM,01/01/2020 01:06:09 AM,1.0,1.39,1.0,N,246.0,48.0,2.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,01/01/2020 12:12:40 AM,01/01/2020 12:18:07 AM,1.0,0.69,1.0,N,79.0,79.0,1.0,0.5,0.5,2.32,0.0,0.3,11.62,2.5
2.0,01/01/2020 12:43:33 AM,01/01/2020 01:21:12 AM,1.0,3.23,1.0,N,237.0,48.0,2.0,0.5,0.5,0.0,0.0,0.3,26.3,2.5
