,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
800000,2.0,01/05/2020 04:33:15 PM,01/05/2020 04:36:25 PM,1.0,0.75,1.0,N,263.0,141.0,1.0,4.5,0.0,0.5,0.55,0.0,0.3,8.35,2.5
800001,2.0,01/05/2020 04:52:12 PM,01/05/2020 05:03:27 PM,1.0,1.6,1.0,N,43.0,161.0,2.0,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5
800002,1.0,01/05/2020 04:41:26 PM,01/05/2020 04:57:47 PM,1.0,2.8,1.0,N,170.0,238.0,1.0,13.0,2.5,0.5,4.05,0.0,0.3,20.35,2.5
800003,2.0,01/05/2020 04:04:39 PM,01/05/2020 04:11:04 PM,1.0,1.28,1.0,N,246.0,158.0,1.0,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
800004,2.0,01/05/2020 04:13:14 PM,01/05/2020 04:39:09 PM,1.0,6.35,1.0,N,158.0,75.0,2.0,23.0,0.0,0.5,0.0,0.0,0.3,26.3,2.5
800005,2.0,01/05/2020 04:43:27 PM,01/05/2020 05:07:59 PM,1.0,4.58,1.0,N,43.0,90.0,1.0,18.5,0.0,0.5,2.0,0.0,0.3,23.8,2.5
800006,2.0,01/05/2020 04:03:16 PM,01/05/2020 04:35:37 PM,1.0,6.08,1.0,N,68.0,146.0,2.0,24.0,0.0,0.5,0.0,0.0,0.3,27.3,2.5
800007,2.0,01/05/2020 04:56:55 PM,01/05/2020 04:59:42 PM,2.0,0.8,1.0,N,237.0,263.0,1.0,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5
800008,2.0,01/05/2020 04:56:21 PM,01/05/2020 05:11:59 PM,1.0,2.55,1.0,N,141.0,43.0,1.0,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
800009,2.0,01/05/2020 04:57:56 PM,01/05/2020 05:40:17 PM,1.0,18.28,2.0,N,132.0,186.0,1.0,52.0,0.0,0.5,10.0,6.12,0.3,71.42,2.5
